iter	Passed	Remaining
0	145	145548
1	148	74021
2	150	50151
3	153	38291
4	158	31627
5	161	26721
6	163	23225
7	165	20567
8	168	18520
9	170	16908
10	173	15572
11	175	14454
12	177	13506
13	180	12700
14	182	11998
15	185	11393
16	187	10850
17	190	10369
18	192	9934
19	194	9546
20	197	9191
21	199	8872
22	202	8592
23	204	8334
24	207	8090
25	209	7862
26	212	7649
27	214	7453
28	217	7274
29	219	7103
30	222	6943
31	224	6799
32	227	6662
33	230	6540
34	232	6423
35	235	6310
36	238	6205
37	241	6101
38	243	6003
39	246	5907
40	248	5820
41	251	5731
42	253	5651
43	256	5570
44	258	5492
45	261	5417
46	263	5347
47	266	5279
48	268	5207
49	270	5143
50	273	5082
51	275	5023
52	277	4966
53	280	4912
54	282	4859
55	285	4808
56	287	4757
57	289	4709
58	292	4662
59	294	4617
60	297	4574
61	299	4531
62	301	4490
63	304	4450
64	306	4411
65	309	4373
66	311	4337
67	313	4301
68	316	4266
69	318	4233
70	321	4200
71	323	4169
72	325	4137
73	328	4107
74	330	4078
75	333	4050
76	335	4022
77	337	3987
78	339	3962
79	342	3937
80	344	3911
81	347	3885
82	349	3861
83	351	3837
84	354	3813
85	356	3790
86	359	3768
87	361	3745
88	363	3724
89	366	3703
90	368	3682
91	371	3662
92	373	3642
93	375	3623
94	378	3604
95	380	3585
96	383	3566
97	385	3548
98	388	3531
99	390	3513
100	392	3496
101	395	3479
102	397	3462
103	400	3446
104	402	3430
105	404	3415
106	407	3399
107	409	3384
108	412	3369
109	414	3353
110	416	3339
111	419	3326
112	421	3311
113	424	3297
114	426	3283
115	429	3270
116	431	3256
117	433	3243
118	436	3230
119	438	3218
120	441	3205
121	443	3192
122	446	3180
123	448	3168
124	450	3156
125	453	3145
126	455	3134
127	458	3123
128	460	3112
129	463	3101
130	466	3091
131	468	3081
132	471	3070
133	473	3060
134	475	3049
135	478	3039
136	480	3029
137	483	3020
138	485	3010
139	488	3000
140	490	2990
141	493	2980
142	495	2971
143	498	2962
144	500	2953
145	503	2943
146	505	2934
147	508	2924
148	510	2915
149	512	2906
150	515	2898
151	517	2889
152	520	2880
153	522	2871
154	525	2862
155	527	2854
156	530	2846
157	532	2837
158	534	2826
159	536	2818
160	539	2810
161	541	2802
162	544	2794
163	546	2786
164	549	2778
165	551	2770
166	554	2763
167	556	2755
168	558	2747
169	561	2740
170	563	2733
171	566	2725
172	568	2718
173	571	2711
174	573	2704
175	576	2697
176	578	2690
177	580	2682
178	582	2671
179	584	2664
180	587	2657
181	589	2650
182	592	2644
183	594	2637
184	597	2630
185	599	2623
186	601	2617
187	604	2610
188	606	2604
189	609	2597
190	611	2590
191	614	2584
192	616	2576
193	618	2570
194	621	2564
195	623	2558
196	626	2551
197	628	2545
198	630	2539
199	633	2533
200	635	2527
201	638	2521
202	640	2515
203	643	2509
204	656	2546
205	658	2540
206	661	2533
207	663	2527
208	666	2521
209	668	2515
210	671	2509
211	673	2503
212	675	2497
213	678	2491
214	680	2485
215	683	2479
216	685	2473
217	688	2468
218	690	2462
219	692	2456
220	695	2450
221	697	2444
222	699	2438
223	701	2431
224	704	2426
225	706	2420
226	709	2415
227	712	2412
228	715	2408
229	717	2403
230	720	2398
231	723	2393
232	725	2388
233	728	2383
234	731	2379
235	733	2374
236	736	2369
237	738	2364
238	740	2359
239	743	2354
240	746	2350
241	748	2345
242	751	2340
243	753	2335
244	756	2330
245	758	2325
246	761	2319
247	763	2314
248	766	2310
249	769	2307
250	771	2302
251	774	2297
252	776	2293
253	779	2288
254	781	2284
255	784	2280
256	787	2276
257	789	2271
258	792	2267
259	795	2264
260	798	2260
261	800	2256
262	803	2251
263	805	2246
264	808	2242
265	811	2238
266	813	2233
267	816	2229
268	818	2224
269	821	2220
270	823	2215
271	825	2210
272	828	2206
273	830	2201
274	833	2197
275	835	2192
276	838	2187
277	840	2182
278	842	2178
279	845	2173
280	847	2168
281	850	2164
282	852	2159
283	854	2155
284	857	2150
285	859	2146
286	862	2142
287	864	2137
288	867	2133
289	869	2128
290	871	2124
291	874	2120
292	877	2116
293	879	2111
294	881	2107
295	884	2103
296	886	2098
297	889	2094
298	891	2090
299	894	2086
300	896	2081
301	898	2077
302	901	2073
303	903	2068
304	906	2064
305	908	2060
306	911	2056
307	913	2052
308	915	2048
309	918	2043
