iter	Logloss
0	0.6778466125
1	0.6622804686
2	0.648828135
3	0.6367590316
4	0.6246182608
5	0.6136237692
6	0.6029662426
7	0.5942167459
8	0.5840685318
9	0.5750616835
10	0.565956735
11	0.558696063
12	0.5512399578
13	0.5438117384
14	0.5372799167
15	0.531341437
16	0.5258218697
17	0.5205147748
18	0.5155858408
19	0.5109473002
20	0.5063002285
21	0.5025754029
22	0.4984017591
23	0.4949009127
24	0.4911609382
25	0.4876022485
26	0.4842941193
27	0.4806108612
28	0.4776093315
29	0.47449499
30	0.4718285017
31	0.4692633641
32	0.4667990821
33	0.4642654586
34	0.4624209245
35	0.4599872205
36	0.4580879634
37	0.4561453706
38	0.4543600765
39	0.4521420702
40	0.4505016112
41	0.4486294687
42	0.446972669
43	0.4454343015
44	0.4439682885
45	0.442538987
46	0.4409395196
47	0.4394558538
48	0.4384652772
49	0.4373789183
50	0.4361141325
51	0.4348289532
52	0.4337235477
53	0.4328455879
54	0.4319111637
55	0.4306928877
56	0.4295525317
57	0.4286998817
58	0.4277287485
59	0.4267895255
60	0.426057947
61	0.4252660322
62	0.4246688776
63	0.423905527
64	0.4229776534
65	0.4223115998
66	0.4216178524
67	0.4209203932
68	0.4202932418
69	0.4196598096
70	0.4188939698
71	0.418163849
72	0.4175618296
73	0.4169809148
74	0.4166230434
75	0.4160720479
76	0.4156511138
77	0.4153715758
78	0.4147836075
79	0.4143193384
80	0.4138983867
81	0.4134249235
82	0.4129504886
83	0.4124172078
84	0.411914805
85	0.4115151151
86	0.4110606552
87	0.4107561008
88	0.4103244434
89	0.4098142508
90	0.4094056115
91	0.4089158841
92	0.4085145905
93	0.4081468938
94	0.4076744028
95	0.4073921195
96	0.4070523947
97	0.4066401778
98	0.4062872022
99	0.4058806032
100	0.4055022106
101	0.4052151605
102	0.4049709115
103	0.4046196247
104	0.4043218755
105	0.4040521496
106	0.4038389266
107	0.4034687089
108	0.4030878733
109	0.4027913725
110	0.4026091865
111	0.402288828
112	0.4019693314
113	0.4017829122
114	0.4015581608
115	0.4012571936
116	0.4010671097
117	0.4007655892
118	0.4003888998
119	0.4001591488
120	0.3999259127
121	0.3996882382
122	0.3995065273
123	0.3992935692
124	0.3990859204
125	0.398799172
126	0.398550632
127	0.3983753818
128	0.3981651147
129	0.3979421176
130	0.397686361
131	0.3974630627
132	0.3971698051
133	0.3969380496
134	0.3966611815
135	0.3964606196
136	0.3962586038
137	0.3961019106
138	0.395792534
139	0.3956491158
140	0.3954178572
141	0.3952293417
142	0.394936766
143	0.3946881235
144	0.3945280543
145	0.3942965859
146	0.3940226642
147	0.3938518463
148	0.3936875899
149	0.3935759184
150	0.3932965044
151	0.3931278724
152	0.3929144574
153	0.3927741033
154	0.3925823073
155	0.3924472688
156	0.3921380545
157	0.391964099
158	0.3919240857
159	0.3917362149
160	0.3915395485
161	0.3913122988
162	0.3911554433
163	0.3909921355
164	0.3907584179
165	0.3905502839
166	0.3903784988
167	0.3902342167
168	0.3900644533
169	0.3898664181
170	0.3897347027
171	0.3895841538
172	0.3893791896
173	0.3893020274
174	0.389093014
175	0.3889114409
176	0.3887596711
177	0.3886046781
178	0.3885921732
179	0.3884093476
180	0.3882734191
181	0.3881417571
182	0.3879535282
183	0.3878443151
184	0.3876992543
185	0.3875508214
186	0.3873749401
187	0.387236979
188	0.3870804046
189	0.3869785249
190	0.3868709868
191	0.3867288061
192	0.3866957422
193	0.3864945102
194	0.3863476251
195	0.3861340438
196	0.3859524389
197	0.3857813786
198	0.3856831627
199	0.3855327214
200	0.3853460873
201	0.385177938
202	0.3850085843
203	0.3848583257
204	0.3846423203
205	0.3845050864
206	0.3843209308
207	0.3841240225
208	0.3840187573
209	0.3839169768
210	0.3837683844
211	0.3836733314
212	0.3835482383
213	0.3834047133
214	0.3831958917
215	0.383017886
216	0.3828469652
217	0.3826767238
218	0.3825870893
219	0.3823893106
220	0.3822442309
221	0.38210877
222	0.3819441529
223	0.3819081952
224	0.381839155
225	0.3815920267
226	0.3814479625
227	0.3812259688
228	0.3811233609
229	0.3809541292
230	0.3808556456
231	0.380705033
232	0.3804933912
233	0.3803795296
234	0.3802491462
235	0.3801690846
236	0.3800541167
237	0.3799034778
238	0.3797694244
239	0.379662554
240	0.3795241609
241	0.3793827612
242	0.3792753355
243	0.3791022774
244	0.3789904523
245	0.3789026087
246	0.3787598467
247	0.3785344258
248	0.3783842878
249	0.3783281832
250	0.3782398532
251	0.3781144484
252	0.3780203318
253	0.3779229995
254	0.3777176908
255	0.3776022413
256	0.3774378858
257	0.3772582686
258	0.3771226989
259	0.3770413134
260	0.3769233317
261	0.3767464624
262	0.3766661906
263	0.3764880086
264	0.3763667704
265	0.3762567575
266	0.3761666029
267	0.3759974036
268	0.3759032779
269	0.3757718049
270	0.3756297987
271	0.3755107236
272	0.3754351311
273	0.3751926198
274	0.3751236662
275	0.3750377985
276	0.3749846858
277	0.3749177975
278	0.3747408658
279	0.3746550646
280	0.3744506965
281	0.3743046327
282	0.3741546769
283	0.3740875008
284	0.373949419
285	0.3738274848
286	0.3736778429
287	0.3735145534
288	0.3733660239
289	0.3732236822
290	0.3731413467
291	0.3730348268
292	0.3729167826
293	0.3728012821
294	0.3727144432
295	0.3725712657
296	0.3723676496
297	0.3722262233
298	0.3721215481
299	0.3720543378
300	0.3718991186
301	0.3717731661
302	0.3716064093
303	0.3715091702
304	0.3713451618
305	0.3712298719
306	0.3710777896
307	0.3709995527
308	0.3709157055
309	0.3707761978
310	0.3706515947
311	0.3705847012
312	0.3705180072
313	0.3703909444
314	0.3702639667
315	0.3700984765
316	0.3700322989
317	0.3699475037
318	0.3697943733
319	0.3697493836
320	0.3696933672
321	0.3696025355
322	0.3694739806
323	0.3693629109
324	0.3692615374
325	0.3691028229
326	0.3689285487
327	0.3688423941
328	0.3686315138
329	0.3684634559
330	0.3683395523
331	0.3682639219
332	0.3681336235
333	0.3680773713
334	0.3680223533
335	0.3678407027
336	0.3678357047
337	0.3677048058
338	0.3676288219
339	0.3674829151
340	0.3674118752
341	0.3672322799
342	0.3671630319
343	0.3671008355
344	0.3669731965
345	0.3668710353
346	0.3668442066
347	0.3667249128
348	0.3666083544
349	0.3663961281
350	0.3661712846
351	0.3660364732
352	0.3659514585
353	0.3658860905
354	0.3657826281
355	0.3656505853
356	0.3654961746
357	0.3653671444
358	0.365265239
359	0.3651814057
360	0.3649976348
361	0.3648250857
362	0.3647526322
363	0.3646139544
364	0.3645016361
365	0.3644055959
366	0.3642777801
367	0.3642014493
368	0.3639168861
369	0.3638023203
370	0.3635666925
371	0.3634000493
372	0.3632665016
373	0.3631179014
374	0.3630493393
375	0.3629689106
376	0.3628030253
377	0.3627041154
378	0.3625885643
379	0.3624899894
380	0.3623441378
381	0.3622292662
382	0.3621700881
383	0.3619852955
384	0.3618903186
385	0.3617302632
386	0.3615816365
387	0.3614303457
388	0.3613917479
389	0.3613129876
390	0.3612077901
391	0.3611130897
392	0.3609357523
393	0.3609158916
394	0.3607291648
395	0.3605594547
396	0.3604697619
397	0.3603924678
398	0.3602938882
399	0.3602517596
400	0.36017391
401	0.3599838575
402	0.3599103019
403	0.3598287058
404	0.3596900831
405	0.3595446004
406	0.3593998504
407	0.3593985877
408	0.359293318
409	0.3591990535
410	0.3591088073
411	0.3589831907
412	0.3587755432
413	0.3587104512
414	0.3585637036
415	0.35838228
416	0.3582154025
417	0.3580720151
418	0.3579631985
419	0.3578823931
420	0.3577648801
421	0.3576338524
422	0.3575368875
423	0.3573657896
424	0.3572813958
425	0.3572013324
426	0.3571481047
427	0.3570337057
428	0.3568283587
429	0.3567032288
430	0.3565211516
431	0.3563660315
432	0.3562169473
433	0.3560850273
434	0.3559815238
435	0.3558872802
436	0.3557805195
437	0.3556401221
438	0.3555266179
439	0.3554567345
440	0.3553560211
441	0.3552032835
442	0.3550352596
443	0.3549761529
444	0.3548384202
445	0.3547825339
446	0.3546349235
447	0.3545386836
448	0.3544425651
449	0.3543488807
450	0.354242102
451	0.3541262864
452	0.3540189691
453	0.3539025032
454	0.3537909956
455	0.3537225469
456	0.3536494606
457	0.3535431798
458	0.3534239138
459	0.3532267566
460	0.353122369
461	0.3530290425
462	0.3529052025
463	0.3527759416
464	0.3526605107
465	0.3525775568
466	0.3524709913
467	0.3523229929
468	0.3522370217
469	0.3521363654
470	0.3520166302
471	0.351924755
472	0.3518179983
473	0.3516293652
474	0.3515252862
475	0.3514412501
476	0.3513515727
477	0.3512376606
478	0.3510903398
479	0.3510210038
480	0.3509130956
481	0.3508235912
482	0.3507023018
483	0.3505868819
484	0.3504855615
485	0.3503820386
486	0.3503056039
487	0.350203436
488	0.3501534363
489	0.3500275421
490	0.3498756797
491	0.3497581534
492	0.34965973
493	0.3496085904
494	0.3495213164
495	0.3493753285
496	0.3492731571
497	0.3491825777
498	0.3491155107
499	0.3490470513
500	0.3488926819
501	0.3487371715
502	0.3486298419
503	0.3485619551
504	0.3484919391
505	0.3483641028
506	0.3482715875
507	0.3482092964
